pincode,lat,lng
110003,28.598,77.227
110021,28.595,77.188
110057,28.557,77.16
110024,28.573,77.231
110048,28.543,77.24
110016,28.549,77.2
110070,28.52,77.155
110017,28.524,77.21
201301,28.57,77.326
110034,28.699,77.131
110092,28.641,77.295
110059,28.62,77.06
110093,28.673,77.289
110040,28.84,77.09
400021,18.921,72.823
400049,19.055,72.827
400005,18.907,72.815
400051,19.072,72.835
400053,19.083,72.841
400059,19.119,72.836
400068,19.117,72.905
400050,19.058,72.843
400071,19.052,72.9
400070,19.074,72.907
400063,19.186,72.848
400086,19.234,72.858
560025,12.975,77.64
560027,12.935,77.627
560001,12.978,77.61
560099,12.935,77.666
560034,12.969,77.75
560017,12.907,77.641
560076,13.004,77.572
560037,12.956,77.701
560011,12.93,77.584
560068,12.965,77.536
560085,12.924,77.563
560035,12.845,77.663
110001,28.6329,77.2197
110006,28.6562,77.23
110009,28.7143,77.1908
110026,28.6686,77.1277
110058,28.6282,77.0847
110075,28.5921,77.046
110085,28.7495,77.0737
110091,28.6085,77.296
110032,28.6724,77.3078
122002,28.4738,77.034
122022,28.4324,77.1005
400006,18.963,72.8003
400013,18.9937,72.8263
400018,19.0175,72.8169
400028,19.0178,72.8478
400054,19.0983,72.8487
400060,19.0971,72.8263
400062,19.1584,72.8494
400097,19.1776,72.8681
400074,19.0488,72.9302
400080,19.168,72.951
400614,19.0771,73.0028
400708,19.1553,72.9984
560002,12.9836,77.6081
560003,12.962,77.5632
560004,12.9952,77.55
560008,12.9743,77.6186
560029,12.937,77.5763
560032,13.0231,77.5907
560047,13.0358,77.5953
560064,13.1067,77.5955
560066,12.982,77.7212
560078,12.9044,77.5856
560103,12.9013,77.6791
400001,18.934,72.834
