pincode,name
110003,Golf Links / Lodhi
110057,Vasant Vihar
110021,Chanakyapuri
110024,Defence Colony / Lajpat
110048,Greater Kailash
110016,Hauz Khas
110017,Saket / Malviya Nagar
110070,Vasant Kunj
110034,Pitampura
110092,Preet Vihar
110059,Uttam Nagar
110093,Shahdara/Nand Nagri
110040,Narela
201301,Noida Sec 18-27
400021,Cuffe Parade
400049,Bandra West
400005,Colaba
400051,Khar West
400053,Santacruz West
400059,Andheri West
400068,Powai
400050,Bandra East
400071,Chembur
400070,Ghatkopar
400063,Malad West
400086,Borivali West
560025,Indiranagar
560027,Koramangala
560001,MG Road / Cubbon Pk
560099,Bellandur
560034,Whitefield
560017,HSR Layout
560076,Malleshwaram
560037,Marathahalli
560011,Jayanagar
560068,Vijayanagar
560085,Banashankari
560035,Electronic City
110001,Connaught Place
110006,Chandni Chowk
110009,Model Town
110026,Punjabi Bagh
110058,Janakpuri
110075,Dwarka
110085,Rohini
110091,Mayur Vihar Phase 1
110032,Vivek Vihar
122002,Gurgaon City
122022,Gurgaon Golf Course Rd
400006,Malabar Hill
400013,Lower Parel
400018,Worli
400028,Dadar West
400054,Vile Parle West
400060,Juhu
400062,Goregaon West
400097,Malad East
400074,Chembur East
400080,Mulund West
400614,Vashi
400708,Airoli
560002,Shivajinagar
560003,Chamrajpet
560004,Rajajinagar
560008,Ulsoor
560029,Basavanagudi
560032,RT Nagar
560047,Hebbal
560064,Yelahanka
560066,Brookefield
560078,JP Nagar
560103,Sarjapur Road
400001,Fort Mumbai
251001,Muzaffarnagar
141001,Ludhiana City
410500,Chakan
412216,412216
411001,Pune Camp / GPO
411004,Deccan Gymkhana
411014,Kalyani Nagar
440001,Nagpur Sadar / Civil Lines
440010,Ramdaspeth
440015,Trimurti Nagar
422009,College Road / Gangapur Road
422001,Nashik City Center
422003,Panchavati
431001,Aurangabad City Center (Kranti Chowk)
431005,Osmanpura / Garkheda
431003,CIDCO Aurangabad
416001,Kolhapur City Center
416008,Rajarampuri
416115,Ichalkaranji
413001,Solapur City Center
413002,Solapur Railway Lines
413304,Pandharpur
444601,Amravati City Center
444602,Amravati Camp
444906,Warud
431601,Nanded Vazirabad
431605,Nanded CIDCO / Taroda
431602,Nanded Shivaji Nagar
123412,Tankri
123106,Dharuhera
301705,Kanhawas
301704,Adeend
123501,Bawal
301708,Nangli Balai
201303,Hazipur
301714,Bhojpuri
400201,Kopar
400603,Veer Sawarkar Nagar
400605,Reti Bandar
400607,Kolshet
400612,Anjur
400615,Bhayander Pada
401209,Waliv
410210,410210
421302,Khoni
421312,Budhavali
421503,Manjarli
421604,Vasind
203200,"Gautam Buddha Nagar, Uttar Pradesh · 203200"
160018,"Chandigarh District, Chandigarh · 160018"
122001,"Gurgaon, Haryana · 122001"
737101,"East District, Sikkim · 737101"
737120,"North District, Sikkim · 737120"
121001,"Faridabad, Haryana · 121001"
560012,"Bangalore, Karnataka · 560012"
400087,"Mumbai Suburban, Maharashtra"
737139,"South District, Sikkim · 737139"
110074,"South, Delhi · 110074"
695543,"Thiruvananthapuram, Kerala · 695543"
110081,"West, Delhi · 110081"
643001,"The Nilgiris, Tamil Nadu · 643001"
683541,"Ernakulam, Kerala · 683541"
744207,"South Andaman, Andaman &Nicobar"
D254564,"Panchkula, Haryana · D254564"
D976610,"Chennai, Tamil Nadu · D976610"
791001,"West Siang, Arunachal Pradesh · 791001"
110094,"North East, Delhi"
631501,"Kancheepuram, Tamil Nadu"
638506,"Erode, Tamil Nadu · 638506"
D792405,"Coimbatore, Tamil Nadu · D792405"
403529,"North Goa, Goa · 403529"
782423,"Kamrup Metropolitan, Assam"
791119,"Papum Pare, Arunachal Pradesh · 791119"
110004,"New Delhi, Delhi"
689699,"Pathanamthitta, Kerala · 689699"
686564,"Kottayam, Kerala · 686564"
403103,"South Goa, Goa · 403103"
411089,"Pune, Maharashtra · 411089"
680014,"Thrissur, Kerala · 680014"
790116,"West Kameng, Arunachal Pradesh · 790116"
688501,"Alappuzha, Kerala · 688501"
171207,"Shimla, Himachal Pradesh · 171207"
110054,"Central, Delhi · 110054"
685512,"Idukki, Kerala · 685512"
140306,"Sahibzada Ajit Singh Nagar, Punjab"
605005,"Puducherry, Puducherry"
638656,"Tiruppur, Tamil Nadu"
796082,"Kolasib, Mizoram · 796082"
691315,"Kollam, Kerala · 691315"
452001,"Indore, Madhya Pradesh · 452001"
700019,"Kolkata, West Bengal · 700019"
629853,"Kanniyakumari, Tamil Nadu"
302001,"Jaipur, Rajasthan · 302001"
636014,"Salem, Tamil Nadu · 636014"
D160859,"Aizawl, Mizoram · D160859"
301406,"Alwar, Rajasthan · 301406"
D629207,"Lunglei, Mizoram · D629207"
D701545,"Munger, Bihar · D701545"
D324734,"Karauli, Rajasthan · D324734"
122052,Industrial Modern Township Manesar
122506,Sector 97
122505,Sector 95
122102,122102
123502,Dohki
122011,Sector 59
123110,Devlavas
301713,Nimbhor (Nimhor)
122051,Gurgaon
301701,Behror Tehsil · 301701
301020,301020
123023,123023
110043,Najafgarh
123001,Patikara
301709,Behror Tehsil · 301709
333036,333036
332746,Dhani Sihodiyan
303108,Jagdishpura
625005,"Madurai, Tamil Nadu · 625005"
796911,"Saiha, Mizoram · 796911"
248159,"Dehradun, Uttarakand"
176041,"Hamirpur, Himachal Pradesh"
637003,"Namakkal, Tamil Nadu · 637003"
144601,"Kapurthala, Punjab · 144601"
383205,"Ahmadabad, Gujarat"
D226277,"Serchhip, Mizoram · D226277"
791122,"Upper Subansiri, Arunachal Pradesh"
799001,"West Tripura, Tripura · 799001"
