pincode,premium_poi_per_km2
110003,6.8
110021,4.5
110057,5.6
110024,18.3
110048,23.6
110016,19.7
110070,3.3
110017,20.9
201301,10.2
110034,12.0
110092,14.1
110059,5.8
110093,6.2
110040,1.2
400021,15.4
400049,24.7
400005,2.7
400051,28.0
400053,12.3
400059,17.0
400068,10.7
400050,29.0
400071,14.1
400070,15.2
400063,12.5
400086,11.1
560025,51.8
560027,41.1
560001,50.3
560099,10.7
560034,13.7
560017,30.2
560076,35.7
560037,32.9
560011,38.0
560068,24.5
560085,22.5
560035,10.3
110001,15.3
110006,16.7
110009,6.7
110026,6.0
110058,4.7
110075,10.7
110085,10.6
110091,12.9
110032,5.7
122002,4.4
122022,4.3
400006,7.5
400013,21.3
400018,3.9
400028,14.6
400054,9.6
400060,19.0
400062,5.2
400097,12.2
400074,12.9
400080,13.3
400614,6.4
400708,5.3
560002,31.4
560003,15.3
560004,14.4
560008,17.5
560029,27.6
560032,11.1
560047,11.4
560064,8.8
560066,11.4
560078,22.8
560103,6.8
400001,19.0
251001,3.5
141001,6.0
410500,5.5
412216,0.3
411001,20.8
411004,22.4
411014,6.2
440001,7.2
440010,14.3
440015,0.4
422009,8.8
422001,9.9
422003,3.4
431001,10.5
431005,4.6
431003,2.8
416001,8.8
416008,9.5
416115,2.6
413001,7.5
413002,7.8
413304,2.0
444601,6.4
444602,3.3
444906,2.4
431601,2.7
431605,0.2
431602,8.2
123412,0.0
123106,0.0
301705,0.0
301704,0.0
123501,0.0
301708,0.0
201303,0.3
301714,9.7
400201,0.6
400603,3.3
400605,2.0
400607,0.7
400612,0.1
400615,0.1
401209,0.6
410210,0.2
421302,1.7
421312,0.0
421503,0.0
421604,0.6
110004,8.7
110054,8.7
110074,8.7
110081,8.7
110094,8.7
121001,15.0
122001,2.15
140306,6.0
160018,15.0
171207,15.0
203200,3.5
301406,15.0
302001,15.0
400087,7.2
403103,7.2
403529,7.2
411089,7.2
452001,15.0
560012,22.5
605005,15.0
629853,15.0
631501,15.0
636014,15.0
638506,15.0
638656,15.0
643001,15.0
680014,15.0
683541,15.0
685512,15.0
686564,15.0
688501,15.0
689699,15.0
691315,15.0
695543,15.0
700019,15.0
737101,15.0
737120,15.0
737139,15.0
744207,15.0
782423,15.0
790116,15.0
791001,15.0
791119,15.0
796082,15.0
D160859,15.0
D254564,15.0
D324734,15.0
D629207,15.0
D701545,15.0
D792405,15.0
D976610,15.0
625005,15.0
796911,15.0
248159,3.5
176041,15.0
637003,15.0
144601,6.0
383205,15.0
D226277,15.0
791122,15.0
799001,15.0
744202,15.0
D653477,15.0
530028,15.0
D648773,15.0
127029,2.15
601103,15.0
609604,15.0
D681670,15.0
410206,7.2
574220,22.5
790105,15.0
141116,6.0
388400,15.0
387335,15.0
570001,22.5
360001,0.2
400702,0.0
401301,0.0
421201,2.1
201314,0.0
201312,0.2
210310,0.8
201306,0.2
121101,0.0
201001,0.6
201308,10.3
203207,10.3
245408,0.1
201003,10.3
203202,0.1
203205,10.3
110020,14.4
201009,0.1
201008,0.0
121004,15.2
335526,0.0
335525,0.0
335512,0.2
122004,0.0
282007,0.1
283105,0.0
282010,5.7
280001,0.9
281302,0.0
122008,15.2
282009,0.0
283122,10.3
283119,0.0
402004,7.0
283125,10.3
283202,10.3
282001,0.3
440021,7.2
D212378,15.0
D862485,15.0
304001,15.0
D989489,15.0
D171306,15.0
791120,15.0
D905581,15.0
792110,15.0
673574,15.0
625520,15.0
174316,15.0
583103,22.5
249401,15.0
577101,22.5
D963453,15.0
182202,15.0
D734356,15.0
521156,15.0
342001,15.0
797004,15.0
D939856,15.0
192129,15.0
123500,0.1
301401,0.0
301407,0.0
124001,4.5
124021,0.0
124029,15.2
124401,0.0
124022,0.0
124505,15.2
124514,15.2
124107,0.0
301707,0.0
301702,0.0
123200,0.0
127201,0.0
123308,15.2
333029,0.0
331305,0.0
124010,1.8
136118,0.0
416211,7.2
D958603,15.0
172116,15.0
D458966,15.0
790102,15.0
562130,22.5
D118911,15.0
792001,15.0
D939729,15.0
144001,6.0
797112,15.0
678642,15.0
712306,15.0
D632781,15.0
143518,6.0
152004,6.0
D692292,15.0
627502,15.0
D371822,15.0
144208,6.0
391760,15.0
180017,15.0
635116,15.0
D832760,15.0
D155696,15.0
791118,15.0
533309,15.0
362520,15.0
522307,15.0
833219,15.0
676121,15.0
752020,15.0
500104,15.0
133104,15.0
D731829,15.0
D591824,15.0
508377,15.0
770011,15.0
142001,6.0
623700,15.0
670593,15.0
791002,15.0
D840134,15.0
796321,15.0
D450640,15.0
D794154,15.0
632010,15.0
122104,1.8
D745712,15.0
D524797,15.0
798611,15.0
176002,15.0
D706630,15.0
D910402,15.0
201206,15.0
798616,15.0
D750446,15.0
D237982,15.0
250001,15.0
D534240,15.0
333001,15.0
382620,15.0
562104,22.5
828109,15.0
246488,15.0
624622,15.0
175021,15.0
D549883,15.0
D285577,15.0
D474943,15.0
523262,15.0
152026,6.0
D794663,15.0
580020,22.5
140118,6.0
563126,22.5
534350,15.0
734431,15.0
573118,22.5
D363985,15.0
506331,15.0
325203,15.0
D470467,15.0
451440,15.0
D726977,15.0
D846953,15.0
D552582,15.0
D140377,15.0
576124,22.5
D272288,15.0
140407,6.0
142023,6.0
151209,6.0
507167,15.0
D838687,15.0
226001,15.0
795113,15.0
797102,15.0
151503,6.0
799273,15.0
791104,15.0
D848859,15.0
D436336,15.0
D649886,15.0
D997922,15.0
586127,22.5
D782262,15.0
D501306,15.0
628001,15.0
D823806,15.0
