pincode,lmv_per_1000,car_2w_ratio,luxury_share,ev_share
110003,36.7,0.319,0.06099,0.03827
110021,70.8,1.604,0.05006,0.03964
110057,70.8,1.604,0.05006,0.03964
110024,36.7,0.319,0.06099,0.03827
110048,36.7,0.319,0.06099,0.03827
110016,36.7,0.319,0.06099,0.03827
110017,36.7,0.319,0.06099,0.03827
110070,119.1,0.73,0.01208,0.07407
110034,17.9,0.187,0.02013,0.1314
110092,61.5,0.54,0.04241,0.06052
110059,32.3,0.266,0.01312,0.1306
110093,58.7,0.352,0.06063,0.06156
110040,49.8,1.32,0.10176,0.05378
201301,63.1,0.473,0.05374,0.06692
400021,26.8,0.477,0.15181,0.04286
400005,26.8,0.477,0.15181,0.04286
400049,20.1,0.568,0.13922,0.04371
400051,20.1,0.568,0.13922,0.04371
400053,20.1,0.568,0.13922,0.04371
400059,20.1,0.568,0.13922,0.04371
400068,19.7,0.357,0.08805,0.02748
400050,19.7,0.357,0.08805,0.02748
400071,19.7,0.357,0.08805,0.02748
400070,19.7,0.357,0.08805,0.02748
400063,33.7,0.406,0.07804,0.03442
400086,33.7,0.406,0.07804,0.03442
560025,104.4,0.57,0.09721,0.07652
560027,91.0,0.335,0.07587,0.12471
560001,74.1,0.358,0.13382,0.06585
560099,63.9,0.417,0.06135,0.10712
560034,104.4,0.57,0.09721,0.07652
560017,91.0,0.335,0.07587,0.12471
560076,49.4,0.264,0.04349,0.09626
560037,104.4,0.57,0.09721,0.07652
560011,91.0,0.335,0.07587,0.12471
560068,23.1,0.319,0.03003,0.07462
560085,91.0,0.335,0.07587,0.12471
560035,63.9,0.417,0.06135,0.10712
110001,236.0,5.762,0.01967,0.12854
110006,52.9,0.145,0.0276,0.05595
110009,17.9,0.187,0.02013,0.1314
110026,66.7,1.088,0.10657,0.14188
110058,32.3,0.266,0.01312,0.1306
110075,119.1,0.73,0.01208,0.07407
110085,17.9,0.187,0.02013,0.1314
110091,61.5,0.54,0.04241,0.06052
110032,22.5,0.23,0.01028,0.08362
122002,52.0,1.2,0.082,0.048
122022,88.0,2.1,0.168,0.072
400006,26.8,0.477,0.15181,0.04286
400013,26.8,0.477,0.15181,0.04286
400018,26.8,0.477,0.15181,0.04286
400028,26.8,0.477,0.15181,0.04286
400054,20.1,0.568,0.13922,0.04371
400060,20.1,0.568,0.13922,0.04371
400062,20.1,0.568,0.13922,0.04371
400097,33.7,0.406,0.07804,0.03442
400074,19.7,0.357,0.08805,0.02748
400080,19.7,0.357,0.08805,0.02748
400614,38.0,0.55,0.072,0.03
400708,32.0,0.6,0.065,0.028
560002,74.1,0.358,0.13382,0.06585
560003,49.4,0.264,0.04349,0.09626
560004,49.4,0.264,0.04349,0.09626
560008,104.4,0.57,0.09721,0.07652
560029,91.0,0.335,0.07587,0.12471
560032,74.1,0.358,0.13382,0.06585
560047,74.1,0.358,0.13382,0.06585
560064,57.1,0.371,0.06673,0.10414
560066,104.4,0.57,0.09721,0.07652
560078,91.0,0.335,0.07587,0.12471
560103,63.9,0.417,0.06135,0.10712
400001,55.3,0.35,0.09,0.02
